Word,Count
null,1887
g,1078
service,185
station,1465
post,271
no,17743
h,404
a,2824
k,432
road,12377
village,1019
lokhandwala,305
petrol,439
pump,480
mumbai,10843
agra,164
s,1673
v,698
bandra,238
west,4924
roadopp,60
national,119
bapat,221
marg,2427
mahim,166
railway,482
new,1090
bombay,124
petroleum,145
center,390
plot,3507
opp,3634
sanpada,105
ground,2864
shop,9732
the,370
hill,190
chs,1296
ltd,980
mahavir,72
shopping,753
kalyan,288
w,1317
shivaji,549
chowk,359
patil,66
building,1504
andheri,3056
junction,164
of,424
and,1822
j,567
p,686
floor,5004
house,1039
compound,387
near,3547
rajasthan,1159
jogeshwari,123
pokhran,57
shastri,110
nagar,2554
naka,409
thane,2583
sector,2458
vashi,727
navi,2004
market,1006
nd,518
punjab,823
d,836
dadar,951
b,1873
commercial,115
complex,908
bus,371
depot,164
palm,131
beach,158
e,1190
rd,1752
n,718
auto,96
nerul,365
hp,97
ns,94
sea,100
co,572
corporation,86
dr,679
moses,73
nr,761
dombivali,287
midc,235
super,93
hpcl,64
raj,64
juhu,623
kala,90
police,199
main,404
vile,577
parle,627
bank,704
street,394
fort,329
r,580
ambedkar,211
byculla,106
sec,429
mahal,215
tilak,123
metro,188
kalbadevi,113
college,183
hall,100
vikhroli,80
east,3754
estate,722
pada,180
lounge,99
domestic,175
departure,171
terminal,236
after,120
sha,118
st,1042
chhatrapati,198
maharaj,179
international,326
airport,369
maharashtra,5682
gate,330
loyalty,62
mals,54
t,549
level,185
starbucks,58
relay,54
store,149
opposite,299
to,1101
om,175
sai,420
cbd,158
belapur,220
annie,78
besant,86
worli,348
vijay,102
panvel,450
l,417
mumbaimumbai,139
laxmi,310
f,410
oil,194
reay,75
filling,257
baba,121
mira,135
bharat,143
stop,137
chowpatty,51
scheme,154
vileparle,222
centre,774
m,774
temple,186
krishna,259
land,138
area,134
military,102
tara,142
church,135
jvpd,101
th,466
gulmohar,90
cross,216
park,794
soc,269
jp,100
four,58
side,74
x,68
lane,485
green,97
society,516
manish,88
chsl,119
c,1013
office,480
bunglows,89
bunglow,125
devi,59
school,405
august,93
apts,54
hsg,211
next,603
india,6478
versova,184
link,636
industrial,414
off,390
gr,451
flr,696
apna,62
ghar,55
unit,617
apartments,56
flat,152
crystal,89
plaza,528
mall,1044
veera,106
desai,191
arcade,268
tower,441
shree,273
shiv,173
shakti,118
colony,537
chawl,416
bldg,1194
hospital,740
mhada,69
indian,137
mandir,479
western,166
heights,131
siddhivinayak,51
evershine,84
apt,308
high,183
point,187
hotel,958
municipal,68
wing,488
jai,57
royal,138
palace,160
city,744
garden,257
irla,53
sant,54
villa,82
stn,122
mehta,80
nehru,254
tejpal,71
o,188
restaurant,191
prem,59
sv,121
business,122
apartment,386
greater,95
suburban,236
linking,51
azad,86
jain,82
fire,52
court,122
silver,55
bld,60
kurla,422
marol,302
ind,62
chakala,94
corner,244
jewellers,60
trade,76
star,104
view,82
towers,63
parvati,55
grd,351
aarey,63
goregaon,586
at,183
prasad,82
bar,150
studio,84
food,67
oberoi,122
highway,449
inorbit,69
malad,276
express,226
counter,114
by,77
gali,134
regency,56
old,281
mansion,304
vasant,117
maroshi,72
saki,114
vihar,315
chandivali,184
farm,62
sakinaka,206
gala,225
dmart,177
amrit,74
powai,398
nahar,69
hiranandani,311
one,63
gardens,162
mahakali,284
survey,358
niwas,401
caves,160
shanti,146
icici,67
holy,78
kunj,124
sahar,179
oshiwara,161
bhavan,262
ram,262
jawahar,70
mata,61
patkar,71
veer,189
block,307
gaon,73
behind,359
cinema,287
colaba,378
state,59
chamber,84
ghoda,61
manzil,98
cst,71
chambers,162
mahatma,66
gandhi,187
patel,151
shahid,70
bhagat,94
singh,193
home,51
bazar,371
apollo,56
pune,400
turbhe,130
masjid,93
bridge,102
sir,55
zaveri,61
kelkar,165
girgaon,58
tank,55
opera,61
kamal,60
bunder,103
club,153
world,92
grant,162
central,322
circle,276
darshan,121
mulund,352
mazgaon,101
bpcl,121
i,176
na,98
rly,105
mill,132
premises,174
mills,159
lower,530
parel,638
rao,83
sadan,200
ganesh,178
lalbaug,58
room,152
hari,77
joshi,118
phoenix,202
senapati,207
pandurang,68
budhkar,56
south,176
ward,181
palladium,65
lodha,114
second,69
pvt,149
zone,81
hdfc,113
phalke,51
op,331
matunga,212
eastmumbai,87
wadala,90
wadi,174
raheja,66
savarkar,131
paradise,79
housing,137
bhuvan,131
anand,170
showroom,90
king,57
guru,70
marine,121
lines,83
churchgate,82
nariman,132
u,63
lal,67
sion,266
planet,52
satyam,53
shivam,54
prabhadevi,163
bhulabhai,62
eastern,53
haji,51
ali,131
kohinoor,96
gopal,71
ranade,76
gokul,66
limited,63
above,196
hanuman,135
mahalaxmi,97
tardeo,133
kranti,102
kemps,96
ghodbunder,145
vasai,897
palghar,264
nalasopara,150
nallasopara,246
dist,200
sagar,196
achole,98
medical,100
agashi,70
virar,420
govind,58
manvel,52
kalamboli,96
taluka,79
on,98
basement,74
first,262
node,53
airoli,210
raigad,201
phase,186
residency,115
koparkhairane,104
seawoods,187
grand,188
seawood,84
lg,52
ttc,81
phata,67
heritage,55
kamothe,72
kharghar,329
raigarh,88
stand,77
ulwe,92
enclave,94
khanda,56
cts,208
tal,105
mart,111
chembur,65
santacruz,325
seven,54
town,72
shah,63
kailash,53
ambika,86
shoping,67
number,65
nair,78
square,116
north,126
adarsh,74
dham,72
swami,61
datta,55
in,57
ngr,72
gautam,77
bearing,86
balaji,70
goa,86
avenue,149
shri,106
maruti,94
clinic,63
sh,88
cosmos,52
line,75
global,57
it,53
part,77
classic,57
krupa,61
baug,131
trust,91
westmumbai,148
po,77
yashwant,52
factory,73
raja,61
bhawan,76
tirupati,51
mg,84
gram,59
vaidya,70
kumar,83
vikas,62
jodhpur,110
narayan,75
yadav,60
galleria,112
spirit,77
roadandheri,117
axis,84
roadnear,86
daftary,60
ashok,81
agarwal,106
amar,78
beside,94
subhash,90
corporate,52
gt,54
path,61
kashmir,162
bhandup,189
gupta,56
alwar,60
ghatkopar,244
sewree,72
gokhale,171
mohan,83
shyam,55
assam,141
ms,111
gf,75
upper,51
dwarka,52
rani,64
sri,75
lbs,267
bhiwandi,105
banswara,60
shopno,58
bengal,311
hyderabad,499
sr,65
mandal,74
more,51
feet,104
tehsil,184
viva,69
automobiles,62
nh,275
pass,59
ahmedabad,170
ghansoli,124
himachal,59
naupada,137
district,58
kalwa,57
jamnagar,76
khar,101
dombivli,121
vill,200
jammu,166
manpada,108
badlapur,67
andhra,538
dahanu,62
thanethane,77
delhi,1950
sy,160
kalina,70
vakola,90
pradesh,2777
telangana,561
rangareddy,89
guwahati,58
bihar,121
jharkhand,97
orissa,155
khata,55
madhya,192
uttar,1688
kolkata,131
khasra,251
chhattisgarh,52
gujarat,666
vadodara,178
nagpur,58
latur,54
aligarh,109
uttarakhand,233
gorakhpur,59
hathras,65
lucknow,164
sitapur,53
moradabad,51
dehradun,205
ambala,84
chandigarh,222
haryana,943
yamunanagar,55
gurgaon,288
vpo,69
kaithal,78
karnal,79
palwal,111
fazilka,59
amritsar,159
gurdaspur,59
barmer,76
jaipur,277
udaipur,147
meerut,91
noida,124
ghaziabad,168
faridabad,184
ludhiana,94
kanpur,51
varanasi,91
jaunpur,67
